2025-06-02 19:17:27,759 | __main__ | INFO | Discovering plugins...
2025-06-02 19:17:27,845 | core.plugin_loader | DEBUG | Loaded module: plugins.tcgplayer.fetchers
2025-06-02 19:17:27,845 | core.plugin_loader | DEBUG | Registered transform: tcgplayer.PokemonSetsCsvFetcher
2025-06-02 19:17:27,845 | core.plugin_loader | DEBUG | Registered transform: tcgplayer.TcgPlayerPriceHistoryFetcher
2025-06-02 19:17:27,847 | core.plugin_loader | DEBUG | Loaded module: plugins.tcgplayer.parsers
2025-06-02 19:17:27,847 | core.plugin_loader | DEBUG | Registered transform: tcgplayer.PokemonSetsParser
2025-06-02 19:17:27,847 | core.plugin_loader | DEBUG | Registered transform: tcgplayer.PriceHistoryParser
2025-06-02 19:17:27,850 | core.plugin_loader | DEBUG | Loaded module: plugins.tcgplayer.sinks
2025-06-02 19:17:27,850 | core.plugin_loader | DEBUG | Registered transform: tcgplayer.TcgDatabaseSink
2025-06-02 19:17:27,850 | core.plugin_loader | DEBUG | Loaded module: plugins.fi_shortinterest.diff_parser
2025-06-02 19:17:27,850 | core.plugin_loader | DEBUG | Registered transform: fi_shortinterest.DiffParser
2025-06-02 19:17:28,105 | core.plugin_loader | DEBUG | Loaded module: plugins.fi_shortinterest.parser
2025-06-02 19:17:28,105 | core.plugin_loader | DEBUG | Registered transform: fi_shortinterest.FiActParser
2025-06-02 19:17:28,105 | core.plugin_loader | DEBUG | Registered transform: fi_shortinterest.FiAggParser
2025-06-02 19:17:28,106 | core.plugin_loader | DEBUG | Loaded module: plugins.fi_shortinterest.sinks
2025-06-02 19:17:28,106 | core.plugin_loader | DEBUG | Registered transform: fi_shortinterest.DatabaseSink
2025-06-02 19:17:28,157 | core.plugin_loader | DEBUG | Loaded module: plugins.fi_shortinterest.fetcher
2025-06-02 19:17:28,157 | core.plugin_loader | DEBUG | Registered transform: fi_shortinterest.FiFetcher
2025-06-02 19:17:28,157 | core.plugin_loader | INFO | Plugin discovery complete: 7 modules, 10 transforms
